_key_error_vector,_normalize_class_distribution,_number_replacement,_pos_tagging,_punctuation_position,_window_size,_test_files,_train_files,_use_question_mark,_vector_file,accuracy_0,loss_1,precision_per_class_2,precision_per_class_3,precision_per_class_4,recall_per_class_5,recall_per_class_6,recall_per_class_7,fscore1,fscore2,fscore3,f_all
this,false,true,false,5,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.8715,0.403299,0.871748,0.5,-1,0.999904,0.00507614,0,0.9314384428,0.0100502471,0,0
this,false,true,true,5,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.8715,0.391511,0.871737,0.555556,-1,0.999809,0.00634518,0,0.9313909444,0.0125470561,0,0
this,false,true,false,0,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.8745,0.402054,0.885238,0.38914,0.30303,0.993408,0.108999,0.0134409,0.9362088559,0.1702973301,0.0257400976,0.0655163282
this,false,true,true,0,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.8735,0.394947,0.89424,0.333333,0.384,0.986338,0.139417,0.0645161,0.9380338312,0.1966040692,0.1104717641,0.197309862
this,false,true,false,2,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.88825,0.316287,0.919279,0.417886,0.575269,0.983755,0.325316,0.143624,0.9504247561,0.3658359422,0.2298601735,0.3687271327
this,false,true,true,2,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.890833,0.294108,0.929017,0.393586,0.572549,0.981749,0.341772,0.195973,0.9546553693,0.365853569,0.2919998261,0.4163490845
this,false,true,false,4,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.890667,0.310994,0.920754,0.432479,0.581081,0.984901,0.320253,0.172922,0.9517478613,0.3680000244,0.2665286177,0.3989344785
this,false,true,true,4,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.891417,0.293004,0.929095,0.40832,0.558442,0.980505,0.335443,0.230563,0.9541079734,0.3683111038,0.3263757843,0.4394221295
this,false,true,false,6,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.8885,0.32436,0.912333,0.435518,0.61,0.987482,0.262087,0.162884,0.9484212047,0.3272442315,0.2571129432,0.375021244
this,false,true,true,6,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.891833,0.299354,0.92381,0.429565,0.586441,0.982513,0.314249,0.230975,0.9522576547,0.3629680853,0.3314180539,0.4397191737
this,false,true,false,8,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.871417,0.396005,0.873066,0.390244,-1,0.998565,0.0203562,0,0.9316079401,0.0386940138,0,0
this,false,true,true,8,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.872083,0.382337,0.873536,0.477273,-1,0.998852,0.0267176,0,0.9320003981,0.0506024878,0,0
